Month,Campaign Name,Channel,Region,Product Category,Marketing Budget (USD '000),Actual Sales (USD Millions)
Dec 2023,Profound foreground circuit,Email,Central,Beauty,109.29,2.52
Apr 2023,Synergistic intermediate methodology,Email,South,Groceries,189.28,0.77
Sep 2023,Team-oriented attitude-oriented productivity,Billboard,West,Beauty,67.59,2.99
Sep 2023,Right-sized clear-thinking Local Area Network,Billboard,Central,Fashion,85.52,2.68
Jun 2023,Phased actuating software,Email,Central,Electronics,124.06,2.85
Apr 2023,Programmable well-modulated pricing structure,Paid Search,North,Electronics,128.84,1.55
Dec 2023,Proactive tangible structure,Email,North,Beauty,181.98,1.86
May 2023,Front-line impactful matrices,Billboard,West,Beauty,57.73,3.39
Sep 2023,Inverse local service-desk,Paid Search,West,Home Appliances,122.62,2.65
Nov 2023,Assimilated zero tolerance function,Influencer,North,Home Appliances,144.3,1.77
Jul 2023,Mandatory interactive strategy,Influencer,West,Groceries,83.45,2.33
Feb 2023,Reactive non-volatile secured line,Billboard,Central,Home Appliances,63.82,0.98
Jul 2023,Right-sized intangible capacity,Paid Search,West,Groceries,176.11,2.45
Feb 2023,Cloned executive utilization,Social Media,South,Home Appliances,95.6,2.38
Mar 2023,Polarized executive Graphical User Interface,Paid Search,Central,Home Appliances,187.22,0.58
Mar 2023,Synergized multi-tasking neural-net,Billboard,South,Beauty,141.49,0.68
Jun 2023,Ameliorated cohesive function,TV,West,Fashion,109.13,1.0
Jun 2023,Synergistic logistical initiative,Paid Search,North,Beauty,123.62,2.03
Oct 2023,Public-key clear-thinking methodology,Paid Search,East,Electronics,112.5,0.63
Feb 2023,Versatile even-keeled moratorium,Email,North,Home Appliances,173.29,2.88
Jun 2023,Profit-focused upward-trending groupware,Email,Central,Home Appliances,135.66,3.28
Aug 2023,Implemented user-facing challenge,Social Media,North,Electronics,189.32,2.36
Jul 2023,Total content-based pricing structure,Social Media,South,Home Appliances,79.15,3.37
Oct 2023,Sharable dedicated Graphic Interface,Influencer,North,Beauty,190.35,3.23
Apr 2023,Networked next generation neural-net,Billboard,West,Beauty,133.89,0.59
Dec 2023,Organic bandwidth-monitored productivity,Influencer,East,Electronics,190.85,2.11
Feb 2023,Synchronized directional website,Social Media,South,Home Appliances,90.66,0.85
May 2023,Optimized non-volatile application,TV,South,Electronics,167.45,2.23
Feb 2023,User-centric grid-enabled circuit,Influencer,Central,Home Appliances,177.37,2.87
Mar 2023,Multi-layered high-level algorithm,Billboard,North,Groceries,90.24,1.77
Sep 2023,Customizable uniform throughput,Email,South,Groceries,129.32,1.19
Sep 2023,Multi-channeled contextually-based analyzer,Influencer,Central,Groceries,164.46,1.04
May 2023,Front-line motivating algorithm,Influencer,North,Groceries,149.69,2.46
Apr 2023,User-centric discrete initiative,TV,North,Electronics,103.1,1.97
Mar 2023,Persistent bandwidth-monitored secured line,Email,West,Beauty,180.98,1.37
Apr 2023,Adaptive mobile parallelism,Social Media,East,Beauty,155.61,1.89
Nov 2023,Re-engineered explicit framework,Billboard,North,Beauty,64.47,2.25
Jun 2023,Networked secondary challenge,Social Media,Central,Beauty,106.11,3.28
Jul 2023,Streamlined national framework,Social Media,West,Groceries,114.37,3.39
Jan 2023,Multi-channeled value-added migration,Social Media,South,Home Appliances,169.44,1.98
Jul 2023,Multi-layered motivating help-desk,Paid Search,Central,Groceries,127.52,0.86
Feb 2023,Upgradable composite task-force,Email,South,Electronics,135.17,2.57
Jan 2023,Monitored radical hub,Billboard,North,Beauty,185.69,2.86
Apr 2023,Assimilated holistic info-mediaries,Influencer,East,Home Appliances,100.98,2.83
Jan 2023,Synergized heuristic application,Billboard,North,Home Appliances,144.25,2.34
May 2023,Open-source intermediate challenge,Billboard,North,Home Appliances,82.08,3.26
Jan 2023,Front-line multimedia productivity,Paid Search,Central,Groceries,84.99,2.57
Jun 2023,Sharable 6thgeneration initiative,TV,North,Electronics,180.32,2.1
Oct 2023,Team-oriented maximized superstructure,Email,Central,Groceries,140.82,1.36
May 2023,Extended static project,Paid Search,West,Fashion,138.25,1.79
Jun 2023,Innovative incremental algorithm,TV,East,Home Appliances,187.1,2.22
Oct 2023,Inverse scalable artificial intelligence,TV,West,Fashion,184.97,1.8
Feb 2023,Monitored bandwidth-monitored flexibility,Email,South,Electronics,138.09,3.37
Apr 2023,Adaptive hybrid leverage,Influencer,North,Electronics,133.69,2.32
Jul 2023,Profit-focused homogeneous success,Paid Search,West,Home Appliances,99.93,2.33
Nov 2023,Up-sized regional neural-net,Billboard,South,Fashion,196.23,3.31
Jan 2023,Innovative value-added knowledge user,Influencer,East,Electronics,188.08,0.7
Oct 2023,Self-enabling demand-driven synergy,Influencer,South,Groceries,172.31,0.52
Jul 2023,Customizable object-oriented moratorium,TV,South,Fashion,72.65,1.88
Apr 2023,Enhanced real-time encoding,Influencer,South,Electronics,113.58,1.27
Jun 2023,Polarized attitude-oriented forecast,Email,South,Groceries,122.2,1.2
Dec 2023,Multi-tiered 6thgeneration Local Area Network,Social Media,Central,Electronics,100.49,3.02
Jan 2023,Visionary multimedia capability,Influencer,North,Beauty,198.49,3.03
Aug 2023,Vision-oriented discrete toolset,Influencer,West,Fashion,142.94,1.69
Oct 2023,User-centric bi-directional functionalities,Paid Search,North,Home Appliances,176.08,1.66
Oct 2023,Cloned composite hub,Influencer,Central,Groceries,104.8,3.46
Sep 2023,Enterprise-wide actuating system engine,Email,East,Beauty,126.1,3.46
Apr 2023,Compatible system-worthy artificial intelligence,Influencer,South,Beauty,138.86,3.21
Jan 2023,Down-sized didactic analyzer,TV,Central,Fashion,113.25,2.05
Nov 2023,Customizable dynamic website,Paid Search,South,Home Appliances,136.83,2.44
May 2023,Total secondary installation,TV,South,Electronics,99.49,1.83
May 2023,Pre-emptive real-time framework,Billboard,South,Fashion,91.66,2.16
Sep 2023,Monitored attitude-oriented monitoring,Paid Search,West,Beauty,168.14,2.75
Apr 2023,Horizontal context-sensitive artificial intelligence,TV,East,Groceries,134.55,2.38
Mar 2023,Cross-platform mission-critical website,TV,Central,Fashion,153.82,1.64
Feb 2023,Progressive solution-oriented product,Social Media,West,Beauty,63.53,1.67
Dec 2023,Horizontal disintermediate service-desk,Billboard,Central,Groceries,72.34,2.54
Feb 2023,Centralized encompassing website,Billboard,North,Electronics,181.69,3.2
Jun 2023,Expanded dedicated success,TV,West,Home Appliances,83.07,1.05
Jan 2023,Inverse analyzing utilization,Paid Search,South,Electronics,169.21,1.62
Aug 2023,Robust user-facing knowledgebase,TV,East,Fashion,134.78,3.37
Sep 2023,Proactive client-server initiative,Paid Search,Central,Groceries,184.99,3.25
May 2023,Horizontal user-facing installation,Email,South,Home Appliances,141.1,3.18
Feb 2023,Customer-focused fault-tolerant approach,Influencer,South,Home Appliances,191.92,0.86
Jul 2023,User-friendly next generation collaboration,Social Media,Central,Fashion,57.33,2.19
Jul 2023,Networked transitional strategy,TV,Central,Electronics,134.81,2.81
Jun 2023,Devolved local encoding,Email,Central,Fashion,148.78,1.47
Dec 2023,Monitored mission-critical archive,TV,East,Fashion,84.18,2.39
Dec 2023,Devolved secondary neural-net,Email,West,Groceries,163.45,2.01
Sep 2023,Sharable cohesive secured line,Influencer,West,Beauty,69.84,1.41
Aug 2023,Enterprise-wide multi-tasking synergy,Billboard,Central,Electronics,197.74,2.18
Aug 2023,Multi-tiered even-keeled hardware,Paid Search,East,Home Appliances,56.9,3.02
Jun 2023,Re-contextualized tangible website,Influencer,West,Groceries,83.34,1.21
Nov 2023,Robust content-based leverage,Social Media,West,Groceries,113.93,3.32
Jul 2023,Integrated local support,Email,East,Electronics,61.23,2.92
Mar 2023,Cross-platform fresh-thinking alliance,Paid Search,West,Beauty,156.88,2.66
Feb 2023,Realigned contextually-based secured line,Email,West,Electronics,93.11,3.46
Aug 2023,Open-source solution-oriented installation,TV,Central,Electronics,150.99,0.52
May 2023,Face-to-face heuristic structure,Social Media,East,Electronics,81.08,2.69
Feb 2023,Implemented national benchmark,Billboard,Central,Beauty,196.57,1.44
